seed,algorithm,learning_rate,gamma,final_mean_reward,final_success_rate,backend,devices,action,mean_length,wall_time_s
3,REINFORCE,0.1,0.9,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,148.47355666500152
4,REINFORCE,0.01,0.9,2.2874999046325684,0.6349999904632568,GPU,['cuda:0'],stochastic,28.19999885559082,152.74250972499794
4,REINFORCE,0.01,0.9,-7.099999904632568,0.0,GPU,['cuda:0'],greedy,40.0,152.74250972499794
0,REINFORCE,0.001,0.99,-3.6354997158050537,0.1449999958276748,GPU,['cuda:0'],stochastic,38.27000045776367,144.76755921400036
0,REINFORCE,0.001,0.99,-2.0,0.0,GPU,['cuda:0'],greedy,40.0,144.76755921400036
7,REINFORCE,0.001,0.9,-3.982999801635742,0.125,GPU,['cuda:0'],stochastic,38.77000045776367,161.99188581600174
7,REINFORCE,0.001,0.9,-8.0,0.0,GPU,['cuda:0'],greedy,40.0,161.99188581600174
7,REINFORCE,0.1,0.99,8.55199909210205,0.98499995470047,GPU,['cuda:0'],stochastic,12.125,157.90934880200075
7,REINFORCE,0.1,0.99,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,157.90934880200075
8,REINFORCE,0.1,0.9,-4.752999782562256,0.2699999809265136,GPU,['cuda:0'],stochastic,33.20000076293945,150.150056597995
8,REINFORCE,0.1,0.9,-8.899999618530273,0.0,GPU,['cuda:0'],greedy,40.0,150.150056597995
5,REINFORCE,0.1,0.9,8.5364990234375,0.9749999642372132,GPU,['cuda:0'],stochastic,11.34000015258789,168.2499474389988
5,REINFORCE,0.1,0.9,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,168.2499474389988
1,REINFORCE,0.001,0.9,-3.492499828338623,0.1749999970197677,GPU,['cuda:0'],stochastic,37.67499923706055,173.1242444749987
1,REINFORCE,0.001,0.9,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,173.1242444749987
3,REINFORCE,0.01,0.9,4.290749549865723,0.7450000047683716,GPU,['cuda:0'],stochastic,21.239999771118164,153.6635783540005
3,REINFORCE,0.01,0.9,-8.899999618530273,0.0,GPU,['cuda:0'],greedy,40.0,153.6635783540005
4,REINFORCE,0.1,0.9,6.01924991607666,0.8949999809265137,GPU,['cuda:0'],stochastic,15.5,158.02251077800247
4,REINFORCE,0.1,0.9,-7.550000667572021,0.0,GPU,['cuda:0'],greedy,40.0,158.02251077800247
9,REINFORCE,0.01,0.9,2.3562495708465576,0.6649999618530273,GPU,['cuda:0'],stochastic,28.399999618530277,146.93942809700093
9,REINFORCE,0.01,0.9,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,146.93942809700093
1,REINFORCE,0.1,0.99,8.26924991607666,0.9699999690055848,GPU,['cuda:0'],stochastic,11.494999885559082,179.29735297300067
1,REINFORCE,0.1,0.99,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,179.29735297300067
1,REINFORCE,0.01,0.9,2.9679996967315674,0.7099999785423279,GPU,['cuda:0'],stochastic,26.07999992370605,179.48144624799895
1,REINFORCE,0.01,0.9,-7.849999904632568,0.0,GPU,['cuda:0'],greedy,40.0,179.48144624799895
2,REINFORCE,0.01,0.9,4.566749572753906,0.7949999570846558,GPU,['cuda:0'],stochastic,22.350000381469727,169.55310293300136
2,REINFORCE,0.01,0.9,-7.550000667572021,0.0,GPU,['cuda:0'],greedy,40.0,169.55310293300136
1,REINFORCE,0.001,0.99,-3.540250062942505,0.1899999976158142,GPU,['cuda:0'],stochastic,37.48999786376953,191.82075025599988
1,REINFORCE,0.001,0.99,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,191.82075025599988
7,REINFORCE,0.01,0.9,3.8052499294281006,0.7599999904632568,GPU,['cuda:0'],stochastic,25.100000381469727,157.37335626099957
7,REINFORCE,0.01,0.9,-7.550000667572021,0.0,GPU,['cuda:0'],greedy,40.0,157.37335626099957
8,REINFORCE,0.001,0.9,1.2179999351501465,0.574999988079071,GPU,['cuda:0'],stochastic,30.86999893188477,144.4870152040021
8,REINFORCE,0.001,0.9,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,144.4870152040021
8,REINFORCE,0.001,0.99,0.3634999096393585,0.5149999856948853,GPU,['cuda:0'],stochastic,32.32999801635742,150.51014021800074
8,REINFORCE,0.001,0.99,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,150.51014021800074
0,REINFORCE,0.001,0.9,-3.525500059127808,0.1449999958276748,GPU,['cuda:0'],stochastic,38.13999938964844,147.1496419920004
0,REINFORCE,0.001,0.9,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,147.1496419920004
3,REINFORCE,0.01,0.99,7.373250007629394,0.9350000023841858,GPU,['cuda:0'],stochastic,15.28499984741211,159.42470542500087
3,REINFORCE,0.01,0.99,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,159.42470542500087
2,REINFORCE,0.1,0.9,6.613749980926514,0.9449999928474426,GPU,['cuda:0'],stochastic,14.664999961853027,172.45374339699993
2,REINFORCE,0.1,0.9,-8.899999618530273,0.0,GPU,['cuda:0'],greedy,40.0,172.45374339699993
8,REINFORCE,0.01,0.99,7.101748943328857,0.9350000023841858,GPU,['cuda:0'],stochastic,16.994998931884766,147.10936550800398
8,REINFORCE,0.01,0.99,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,147.10936550800398
6,REINFORCE,0.001,0.99,-3.2472500801086426,0.1749999970197677,GPU,['cuda:0'],stochastic,38.03499984741211,150.02913294099926
6,REINFORCE,0.001,0.99,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,150.02913294099926
5,REINFORCE,0.1,0.99,8.723750114440918,1.0,GPU,['cuda:0'],stochastic,12.664999961853027,152.09569316700072
5,REINFORCE,0.1,0.99,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,152.09569316700072
5,REINFORCE,0.01,0.9,3.901999711990357,0.7599999904632568,GPU,['cuda:0'],stochastic,24.03499984741211,176.25732100900132
5,REINFORCE,0.01,0.9,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,176.25732100900132
0,REINFORCE,0.1,0.99,9.051750183105469,0.9950000047683716,GPU,['cuda:0'],stochastic,9.719999313354492,147.15213756199955
0,REINFORCE,0.1,0.99,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,147.15213756199955
9,REINFORCE,0.001,0.9,-4.184999942779541,0.1049999967217445,GPU,['cuda:0'],stochastic,38.834999084472656,152.04868875399552
9,REINFORCE,0.001,0.9,-8.0,0.0,GPU,['cuda:0'],greedy,40.0,152.04868875399552
9,REINFORCE,0.1,0.99,9.517499923706056,1.0,GPU,['cuda:0'],stochastic,8.804999351501465,148.43712017600046
9,REINFORCE,0.1,0.99,9.649999618530272,1.0,GPU,['cuda:0'],greedy,8.0,148.43712017600046
4,REINFORCE,0.1,0.99,6.995249271392822,0.9749999642372132,GPU,['cuda:0'],stochastic,20.114999771118164,152.38464471299812
4,REINFORCE,0.1,0.99,-7.399999618530273,0.0,GPU,['cuda:0'],greedy,40.0,152.38464471299812
5,RandomAgent,0.0,0.0,-3.139999866485596,0.1799999922513961,GPU,['cuda:0'],random,37.68999862670898,3.743094146000658
1,RandomAgent,0.0,0.0,-3.367000102996826,0.1700000017881393,GPU,['cuda:0'],random,38.05999755859375,3.1726964749977924
2,RandomAgent,0.0,0.0,-3.299999952316284,0.1599999964237213,GPU,['cuda:0'],random,37.79999923706055,3.115128290002758
9,RandomAgent,0.0,0.0,-3.177000045776367,0.199999988079071,GPU,['cuda:0'],random,37.290000915527344,5.707322129001113
0,RandomAgent,0.0,0.0,-3.179999828338623,0.1899999976158142,GPU,['cuda:0'],random,38.09999847412109,6.245199168999534
4,RandomAgent,0.0,0.0,-4.470999717712402,0.1199999973177909,GPU,['cuda:0'],random,38.62999725341797,3.1591730199979797
6,RandomAgent,0.0,0.0,-3.815500497817993,0.1499999910593032,GPU,['cuda:0'],random,38.56999969482422,3.223173485999723
3,RandomAgent,0.0,0.0,-3.252999782562256,0.1599999964237213,GPU,['cuda:0'],random,37.34000015258789,3.319150374001765
7,RandomAgent,0.0,0.0,-3.74049973487854,0.1099999994039535,GPU,['cuda:0'],random,38.71999740600586,3.23298110000178
8,RandomAgent,0.0,0.0,-3.5739998817443848,0.1799999922513961,GPU,['cuda:0'],random,38.41999816894531,3.1819750209979247
